Data,Instituicao_Financeira,API,total_chamadas,paired,Percentual_Pareamento,Tempo_Resposta_P95
2025-09-01,IF 1,Resources,975,949,97.42388445489553,759.919850562059
2025-09-01,IF 1,Fixed Incomes,1011,991,98.0745328487838,907.0548825470628
2025-09-01,IF 2,Resources,1166,1099,94.32633534402581,970.9607081849027
2025-09-01,IF 2,Fixed Incomes,868,613,70.713477129458,1854.700783502034
2025-09-02,IF 1,Resources,1312,1284,97.86949434018064,804.9457446013829
2025-09-02,IF 1,Fixed Incomes,1244,1216,97.80580073706196,627.8055152505526
2025-09-02,IF 2,Resources,952,925,97.2089277728626,899.7110162346501
2025-09-02,IF 2,Fixed Incomes,989,773,78.2433628389783,1767.4288734878219
2025-09-03,IF 1,Resources,937,117,12.511633436497027,8950.167175443072
2025-09-03,IF 1,Fixed Incomes,1200,156,13.033464128477064,9603.107506535325
2025-09-03,IF 2,Resources,1322,1242,93.97375074948184,820.6529351329011
2025-09-03,IF 2,Fixed Incomes,1191,919,77.18145997702386,1540.8119792547607
2025-09-04,IF 1,Resources,1461,1432,98.07571679704232,774.9279958008766
2025-09-04,IF 1,Fixed Incomes,1019,1001,98.33012849391042,702.2212274245567
2025-09-04,IF 2,Resources,833,796,95.58709816290583,971.4684745603538
2025-09-04,IF 2,Fixed Incomes,1215,762,62.749964780997665,1538.6281609824314
2025-09-05,IF 1,Resources,821,796,97.00282805083489,873.7396126345144
2025-09-05,IF 1,Fixed Incomes,847,831,98.17172549572552,825.774721640868
2025-09-05,IF 2,Resources,1422,1348,94.80707348447656,1130.409545174136
2025-09-05,IF 2,Fixed Incomes,835,648,77.6051298415304,1994.2159848707472
2025-09-06,IF 1,Resources,1274,1247,97.92417963964809,896.5851553406408
2025-09-06,IF 1,Fixed Incomes,931,913,98.09506491115692,789.1435470523281
2025-09-06,IF 2,Resources,1448,1435,99.14106073485924,895.2433975058088
2025-09-06,IF 2,Fixed Incomes,1295,878,67.85049306815733,1693.5501621166645
2025-09-07,IF 1,Resources,969,950,98.11130663637051,723.3690616733029
2025-09-07,IF 1,Fixed Incomes,990,971,98.08691869719578,801.2943712440256
2025-09-07,IF 2,Resources,1288,1223,94.97504993145932,1104.062410576763
2025-09-07,IF 2,Fixed Incomes,1297,1248,96.23348793725445,700.8678021932344
2025-09-08,IF 1,Resources,1132,1107,97.84571563172018,718.3192288224895
2025-09-08,IF 1,Fixed Incomes,1487,1470,98.89246354841939,695.1144560861586
2025-09-08,IF 2,Resources,1060,992,93.62892786661638,993.1906650297448
2025-09-08,IF 2,Fixed Incomes,1025,790,77.11610781313624,1750.2182935051467
2025-09-09,IF 1,Resources,1276,1258,98.63668074669273,858.916581038823
2025-09-09,IF 1,Fixed Incomes,1433,1389,96.93898356633517,718.316189796623
2025-09-09,IF 2,Resources,885,832,94.04490751027588,1086.8008279504854
2025-09-09,IF 2,Fixed Incomes,1200,911,75.94746778441076,1695.7338170578303
2025-09-10,IF 1,Resources,1429,1390,97.3084080067314,847.4622209842546
2025-09-10,IF 1,Fixed Incomes,1428,1385,97.0266762880096,731.5364816261045
2025-09-10,IF 2,Resources,842,797,94.67704506292438,1154.516771308722
2025-09-10,IF 2,Fixed Incomes,983,801,81.56032693989302,1773.8212780445024
2025-09-11,IF 1,Resources,1069,1032,96.62060667807079,819.5657259870876
2025-09-11,IF 1,Fixed Incomes,1008,987,98.0043130488477,716.2697289389887
2025-09-11,IF 2,Resources,961,954,99.29432512415059,933.7685886402592
2025-09-11,IF 2,Fixed Incomes,1376,1344,97.69424590887976,771.5352537266692
2025-09-12,IF 1,Resources,808,797,98.69171898434298,788.1865421721751
2025-09-12,IF 1,Fixed Incomes,1098,1080,98.37747100143329,780.7664788513368
2025-09-12,IF 2,Resources,1440,1368,95.0556118463514,936.3838265799607
2025-09-12,IF 2,Fixed Incomes,1240,916,73.89494911681865,1647.4376594945534
2025-09-13,IF 1,Resources,1317,1300,98.7405562764337,721.3238461333161
2025-09-13,IF 1,Fixed Incomes,960,940,97.93934890695526,761.8781086630297
2025-09-13,IF 2,Resources,1447,1385,95.74298819711926,1064.357790309177
2025-09-13,IF 2,Fixed Incomes,1488,1476,99.22627057442494,751.467420640191
2025-09-14,IF 1,Resources,1290,1258,97.58322213175656,837.5833234185961
2025-09-14,IF 1,Fixed Incomes,868,854,98.45491528731038,659.7497327059277
2025-09-14,IF 2,Resources,1373,1323,96.40250759862673,873.8245245279983
2025-09-14,IF 2,Fixed Incomes,1388,954,68.73368082325875,1814.5350506686893
2025-09-15,IF 1,Resources,1180,1144,96.98955127603247,734.3460270290016
2025-09-15,IF 1,Fixed Incomes,1406,1394,99.17257311377922,707.7264542025118
2025-09-15,IF 2,Resources,844,795,94.29723021796646,836.7507933408773
2025-09-15,IF 2,Fixed Incomes,1074,794,73.92932952635212,1598.7514677872377
2025-09-16,IF 1,Resources,1279,1254,98.1069518712722,859.5671003302351
2025-09-16,IF 1,Fixed Incomes,1250,1237,98.96502575529267,773.8334190902781
2025-09-16,IF 2,Resources,891,861,96.68385684758323,843.2824149872081
2025-09-16,IF 2,Fixed Incomes,1006,812,80.73410196890391,1835.8720584952202
